Ticker,Origin,Company,Sector,Group,Category,Loss,Income Drop
BDX,USA,Becton Dickinson and Co,Healthcare,Medical Instruments & Supplies,Health Services,0.0,6.0
BDR,USA,Blonder Tongue Laboratories Inc,Technology,Communication Equipment,Telecommunications,9.0,5.0
BDSI,USA,BioDelivery Sciences International Inc,Healthcare,Biotechnology,Drugs,10.0,4.0
BDL,USA,Flanigans Enterprises Inc,Services,Specialty Eateries,Leisure,0.0,0.0
BDGE,USA,Bridge Bancorp Inc,Financial,Regional - Northeast Banks,Banking,0.0,1.0
BDC,USA,Belden Inc,Industrial Goods,Industrial Electrical Equipment,Manufacturing,1.0,5.0
BDBD,USA,Boulder Brands Inc,Consumer Goods,Processed & Packaged Goods,Food & Beverage,3.0,2.0
BCRX,USA,BioCryst Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,10.0,6.0
BCTF,USA,Bancorp 34 Inc,Financial,Savings & Loans,Banking,1.0,2.0
BCRH,Bermuda,Blue Capital Reinsurance Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,3.0,2.0
BCPC,USA,Balchem Corp,Basic Materials,Chemicals - Major Diversified,Chemicals,0.0,2.0
BCOR,USA,Blucora Inc,Technology,Internet Information Providers,Internet,5.0,5.0
BCOV,USA,Brightcove Inc,Technology,Application Software,Computer Software & Services,10.0,5.0
BCO,USA,Brinks Co,Services,Security & Protection Services,Diversified Services,3.0,5.0
BCBP,USA,BCB Bancorp Inc,Financial,Regional - Northeast Banks,Banking,1.0,4.0
BCEI,USA,Bonanza Creek Energy Inc,Basic Materials,Independent Oil & Gas,Energy,2.0,3.0
BCC,USA,Boise Cascade Co,Industrial Goods,"Lumber,Wood Production",Materials & Construction,0.0,4.0
BC,USA,Brunswick Corp,Consumer Goods,"Recreational Goods,Other",Consumer Durables,3.0,5.0
BBY,USA,Best Buy Co Inc,Services,Electronics Stores,Retail,1.0,5.0
BBX,USA,BBX Capital Corp,Financial,Property Management,Real Estate,2.0,5.0
BBSI,USA,Barrett Business Services Inc,Services,Staffing & Outsourcing Services,Diversified Services,1.0,4.0
BBW,USA,Build-A-Bear Workshop Inc,Services,Toy & Hobby Stores,Specialty Retail,5.0,3.0
BBRG,USA,Bravo Brio Restaurant Group Inc,Services,Restaurants,Leisure,3.0,5.0
BBGI,USA,Beasley Broadcast Group Inc,Services,Broadcasting - Radio,Media,0.0,2.0
BBBY,USA,Bed Bath & Beyond Inc,Services,Home Furnishing Stores,Retail,2.0,7.0
BAX,USA,Baxter International Inc,Healthcare,Medical Instruments & Supplies,Health Services,0.0,6.0
BASI,USA,Bioanalytical Systems Inc,Services,Research Services,Diversified Services,6.0,6.0
BANR,USA,Banner Corp,Financial,Regional - Mid-Atlantic Banks,Banking,1.0,3.0
BANF,USA,BancFirst Corp,Financial,Regional - Southwest  Banks,Banking,0.0,0.0
BAS,USA,Basic Energy Services Inc,Basic Materials,Oil & Gas Equipment & Services,Energy,8.0,5.0
BANC,USA,Banc of California Inc,Financial,Regional - Pacific Banks,Banking,2.0,5.0
BAMM,USA,Books-A-Million Inc,Services,Sporting Goods Stores,Specialty Retail,3.0,3.0
BAH,USA,Booz Allen Hamilton Holding Corp,Services,Management Services,Diversified Services,0.0,2.0
BAC,USA,Bank of America Corp,Financial,Money Center Banks,Banking,1.0,4.0
B,USA,Barnes Group Inc,Industrial Goods,Industrial Equipment & Components,Manufacturing,0.0,4.0
BA,USA,Boeing Co,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,2.0,6.0
AZZ,USA,AZZ Inc,Industrial Goods,Diversified Machinery,Manufacturing,0.0,3.0
AZO,USA,Autozone Inc,Services,Auto Parts Stores,Retail,0.0,0.0
AZPN,USA,Aspen Technology Inc,Technology,Business Software & Services,Computer Software & Services,1.0,3.0
AYR,Bermuda,Aircastle Ltd,Services,Rental & Leasing Services,Diversified Services,0.0,4.0
AYX,USA,Alteryx Inc,Technology,Application Software,Computer Software & Services,2.0,1.0
AYI,USA,Acuity Brands Inc,Technology,Diversified Electronics,Electronics,0.0,2.0
AXTI,USA,AXT Inc,Technology,Semiconductor - Integrated Circuits,Electronics,4.0,3.0
AXTA,Bermuda,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals,Chemicals,0.0,2.0
AXS,Bermuda,AXIS Capital Holdings Ltd,Financial,Property & Casualty Insurance,Insurance,1.0,4.0
AXR,USA,AMREP Corp,Services,Business Services,Diversified Services,6.0,4.0
AXP,USA,American Express Co,Financial,Credit Services,Financial Services,0.0,4.0
AXLL,USA,Axiall Corp,Basic Materials,Chemicals - Major Diversified,Chemicals,2.0,3.0
AXL,USA,American Axle & Manufacturing Holdings Inc,Consumer Goods,Auto Parts,Automotive,2.0,3.0
AXGN,USA,AxoGen Inc,Healthcare,Medical Appliances & Equipment,Health Services,11.0,7.0
AXE,USA,Anixter International Inc,Services,Industrial Equipment Wholesale,Wholesale,1.0,6.0
AXDX,USA,Accelerate Diagnostics Inc,Healthcare,Medical Laboratories & Research,Health Services,9.0,6.0
AXAS,USA,Abraxas Petroleum Corp,Basic Materials,Independent Oil & Gas,Energy,3.0,2.0
AX,USA,Axos Financial,Financial,Savings & Loans,Banking,0.0,0.0
AWX,USA,Avalon Holdings Corp,Industrial Goods,Waste Management,Materials & Construction,9.0,4.0
AWRE,USA,Aware Inc,Technology,Application Software,Computer Software & Services,3.0,6.0
AWR,USA,American States Water Co,Utilities,Water Utilities,Utilities,0.0,2.0
AWI,USA,Armstrong World Industries Inc,Industrial Goods,General Building Materials,Materials & Construction,1.0,3.0
AWK,USA,American Water Works Company Inc,Utilities,Water Utilities,Utilities,0.0,2.0
AWAY,USA,HomeAway Inc,Technology,Application Software,Computer Software & Services,0.0,3.0
AVY,USA,Avery Dennison Corp,Consumer Goods,Business Equipment,Consumer Durables,0.0,4.0
AVX,USA,AVX Corp,Technology,Diversified Electronics,Electronics,1.0,5.0
AVTR,USA,Avantor Inc,Basic Materials,Specialty Chemicals,Chemicals,1.0,0.0
AVT,USA,Avnet Inc,Services,Electronics Wholesale,Wholesale,3.0,5.0
AVP,USA,Avon Products Inc,Consumer Goods,Personal Products,Consumer NonDurables,7.0,7.0
AVNW,USA,Aviat Networks Inc,Technology,Communication Equipment,Telecommunications,7.0,3.0
AVNU,USA,Avenue Financial Holdings Inc,Financial,Regional - Mid-Atlantic Banks,Banking,0.0,0.0
AVLR,USA,Avalara Inc,Technology,Application Software,Computer Software & Services,3.0,1.0
AVID,USA,Avid Technology Inc,Technology,Multimedia & Graphics Software,Computer Software & Services,4.0,6.0
AVHI,USA,AV Homes Inc,Industrial Goods,Residential Construction,Materials & Construction,7.0,3.0
AVEO,USA,Aveo Pharmaceuticals Inc,Healthcare,Biotechnology,Drugs,8.0,4.0
AVGR,USA,Avinger Inc,Healthcare,Medical Appliances & Equipment,Health Services,6.0,2.0
AVGO,Singapore,Broadcom Ltd,Technology,Semiconductor - Broad Line,Electronics,1.0,2.0
AVDL,Ireland,Avadel Pharmaceuticals PLC,Healthcare,Drug Delivery,Drugs,2.0,1.0
AVD,USA,American Vanguard Corp,Basic Materials,Agricultural Chemicals,Chemicals,0.0,3.0
AVAV,USA,AeroVironment Inc,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,0.0,3.0
AVA,USA,Avista Corp,Utilities,Diversified Utilities,Utilities,0.0,3.0
AUMN,USA,Golden Minerals Co,Basic Materials,Industrial Metals & Minerals,Metals & Mining,11.0,6.0
AUBN,USA,Auburn National Bancorporation Inc,Financial,Regional - Southeast Banks,Banking,0.0,2.0
ATW,USA,Atwood Oceanics Inc,Basic Materials,Oil & Gas Drilling & Exploration,Energy,1.0,3.0
ATVI,USA,Activision Blizzard Inc,Technology,Multimedia & Graphics Software,Computer Software & Services,3.0,4.0
ATUS,USA,Altice USA Inc,Services,CATV Systems,Media,1.0,1.0
ATRS,USA,Antares Pharma Inc,Healthcare,Medical Instruments & Supplies,Health Services,10.0,5.0
ATSG,USA,Air Transport Services Group Inc,Services,Air Delivery & Freight Services,Transportation,1.0,4.0
ATRO,USA,Astronics Corp,Industrial Goods,Aerospace/Defense Products & Services,Aerospace/Defense,1.0,3.0
ATRC,USA,AtriCure Inc,Healthcare,Medical Instruments & Supplies,Health Services,11.0,8.0
ATRI,USA,Atrion Corp,Healthcare,Medical Instruments & Supplies,Health Services,0.0,4.0
ATR,USA,Aptargroup Inc,Consumer Goods,Packaging & Containers,Consumer NonDurables,0.0,3.0
ATOM,USA,Atomera Inc,Technology,Semiconductor Equipment & Materials,Electronics,5.0,2.0
ATO,USA,Atmos Energy Corp,Utilities,Gas Utilities,Utilities,0.0,2.0
ATNI,USA,ATN International Inc,Technology,Telecom Services - Domestic,Telecommunications,0.0,6.0
ATNY,USA,API Technologies Corp,Technology,Semiconductor - Integrated Circuits,Electronics,5.0,3.0
ATML,USA,Atmel Corp,Technology,Semiconductor - Integrated Circuits,Electronics,2.0,4.0
ATLS,USA,Atlas Energy Group LLC,Basic Materials,Independent Oil & Gas,Energy,5.0,1.0
ATLO,USA,Ames National Corp,Financial,Regional - Northeast Banks,Banking,0.0,2.0
ATLC,USA,Atlanticus Holdings Corp,Financial,Credit Services,Financial Services,4.0,5.0
ATKR,USA,Atkore International Group Inc,Industrial Goods,Industrial Electrical Equipment,Manufacturing,0.0,0.0
ATI,USA,Allegheny Technologies Inc,Industrial Goods,Metal Fabrication,Manufacturing,3.0,5.0
ATHX,USA,Athersys Inc,Healthcare,Biotechnology,Drugs,11.0,6.0
ATHN,USA,athenahealth Inc,Technology,Healthcare Information Services,Computer Software & Services,1.0,3.0
