Ticker,Company,MS,MBI,MB,CNN,BS
A,,True,True,True,True,True
AA,Alcoa Corp,True,True,True,True,True
AAC,,False,True,True,False,True
AAL,American Airlines Group Inc,False,True,True,True,True
AAMC,Altisource Asset Management Corp,False,True,True,True,True
AAME,Atlantic American Corp,False,True,True,True,True
AAN,Aaron's Inc,True,True,True,True,True
AAOI,Applied Optoelectronics Inc,False,True,True,True,True
AAON,AAON Inc,False,True,True,True,True
AAP,Advance Auto Parts Inc,True,True,True,True,True
AAPL,Apple Inc,False,True,True,True,True
AAT,American Assets Trust Inc,True,True,True,True,True
AAU,Almaden Minerals Ltd,False,True,True,True,True
AAWW,Atlas Air Worldwide Holdings Inc,False,True,True,True,True
AAXN,Axon Enterprise Inc,False,True,True,True,True
AB,AllianceBernstein Holding LP,True,True,True,True,True
ABB,ABB Ltd,True,True,True,True,True
ABBV,AbbVie Inc,True,True,True,True,True
ABC,AmerisourceBergen Corp,True,True,True,True,True
ABCB,Ameris Bancorp,False,True,True,True,True
ABEO,Abeona Therapeutics Inc,False,True,True,True,True
ABEV,Ambev SA,True,True,True,True,True
ABG,Asbury Automotive Group Inc,True,True,True,True,True
ABM,ABM Industries Inc,True,True,True,True,True
ABMD,Abiomed Inc,False,True,True,True,True
ABR,Arbor Realty Trust Inc,True,True,True,True,True
ABT,Abbott Laboratories,True,True,True,True,True
ABTX,Allegiance Bancshares Inc,False,True,True,True,True
ABUS,Arbutus Biopharma Corp,False,True,True,True,True
AC,Associated Capital Group Inc,True,True,True,True,True
ACAD,ACADIA Pharmaceuticals Inc,False,True,True,True,True
ACAT,Arctic Cat Inc,False,True,True,False,True
ACB,Aurora Cannabis Inc,True,True,True,True,True
ACBI,Atlantic Capital Bancshares Inc,False,True,True,True,True
ACC,American Campus Communities Inc,True,True,True,True,True
ACCO,ACCO Brands Corp,True,True,True,True,True
ACER,Acer Therapeutics Inc,False,True,True,True,True
ACFC,Atlantic Coast Financial Corp,False,True,True,False,True
ACGL,Arch Capital Group Ltd,False,True,True,True,True
ACH,Aluminum Corporation of China Ltd,True,True,True,True,True
ACHC,Acadia Healthcare Co Inc,False,True,True,True,True
ACHN,Achillion Pharmaceuticals Inc,False,True,True,False,True
ACHV,Achieve Life Sciences Inc,False,True,True,True,True
ACIA,Acacia Communications Inc,False,True,True,True,True
ACIU,AC Immune SA,False,True,True,True,True
ACIW,ACI Worldwide Inc,False,True,True,True,True
ACLS,Axcelis Technologies Inc,False,True,True,True,True
ACM,AECOM,True,True,True,True,True
ACN,Accenture PLC,True,True,True,True,True
ACNB,ACNB Corp,False,True,True,True,True
ACOR,Acorda Therapeutics Inc,False,True,True,True,True
ACRE,Ares Commercial Real Estate Corp,True,True,True,True,True
ACRS,Aclaris Therapeutics Inc,False,True,True,True,True
ACRX,AcelRx Pharmaceuticals Inc,False,True,True,True,True
ACST,Acasti Pharma Inc,False,True,True,True,True
ACTG,Acacia Research Corp,False,True,True,True,True
ACU,Acme United Corp,False,True,True,True,True
ACUR,Acura Pharmaceuticals Inc,False,True,True,True,True
ACW,Accuride Corp,False,False,True,True,True
ACY,AeroCentury Corp,False,True,True,True,True
ADAP,Adaptimmune Therapeutics PLC,False,True,True,True,True
ADBE,Adobe Inc,False,True,True,True,True
ADC,Agree Realty Corp,True,True,True,True,True
ADDYY,adidas AG,False,False,True,True,True
ADEP,Adept Technology Inc,False,False,True,False,True
ADES,Advanced Emissions Solutions Inc,False,True,True,True,True
ADGE,American DG Energy Inc,False,False,True,False,True
ADI,Analog Devices Inc,False,True,True,True,True
ADM,Archer-Daniels Midland Co,True,True,True,True,True
ADMA,ADMA Biologics Inc,False,True,True,True,True
ADMP,Adamis Pharmaceuticals Corp,False,True,True,True,True
ADMS,Adamas Pharmaceuticals Inc,False,True,True,True,True
ADNT,Adient PLC,True,True,True,True,True
ADP,Automatic Data Processing Inc,False,True,True,True,True
