Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,63.0,-4.0,-0.17,-1.0,12.0,0.0,31.0,1.35,0
2011,164.0,20.0,0.87,36.0,34.0,0.94,34.0,1.48,802
2012,170.0,12.0,0.52,38.0,12.0,0.32,-16.0,-0.7,-38
2013,160.0,18.0,0.75,62.0,271.0,4.37,17.0,0.71,46
2014,212.0,37.0,1.42,78.0,139.0,1.78,-10.0,-0.38,99
2015,260.0,39.0,1.22,77.0,53.0,0.69,-35.0,-1.09,5
2016,322.0,71.0,2.09,143.0,502.0,3.51,-78.0,-2.29,79
2017,363.0,73.0,1.97,149.0,227.0,1.52,-66.0,-1.78,2
2018,408.0,99.0,2.1,174.0,601.0,3.45,-3.0,-0.06,35
2019,701.0,159.0,2.73,263.0,1300.0,4.94,-944.0,-16.28,59
