Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,15.0,1.0,0.09,2.0,0.0,0.0,0.0,0.0,0
2011,217.0,-34.0,-34.0,-30.0,215.0,0.0,-1.0,-1.0,-1741
2012,412.0,18.0,0.5,71.0,423.0,5.96,-47.0,-1.38,157
2013,732.0,41.0,0.85,123.0,612.0,4.98,-11.0,-0.23,120
2014,1030.0,82.0,1.48,207.0,984.0,4.75,-21.0,-0.38,97
2015,1827.0,109.0,1.64,340.0,2229.0,6.56,-62.0,-0.94,32
2016,2851.0,3.0,1.5,360.0,3230.0,8.97,13.0,6.5,-96
2017,2875.0,197.0,2.27,564.0,3172.0,5.62,84.0,0.98,4837
2018,3000.0,223.0,2.58,581.0,3166.0,5.45,67.0,0.78,13
2019,3106.0,109.0,1.25,497.0,3024.0,6.08,66.0,0.76,-50
2020,3128.0,114.0,1.31,496.0,3059.0,6.17,69.0,0.79,4
