Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,78.0,23.0,0.66,30.0,0.0,0.0,13.0,0.37,0
2011,170.0,20.0,0.51,39.0,-320.0,-0.0,56.0,1.4,-12
2012,249.0,58.0,1.23,118.0,-310.0,-0.0,98.0,2.09,180
2013,129.0,-57.0,-1.19,-31.0,-256.0,-0.0,-8.0,-0.17,-194
2014,130.0,-65.0,-1.35,-8.0,-192.0,-0.0,0.0,0.0,-14
2015,123.0,-156.0,-3.19,-100.0,-135.0,-0.0,-11.0,-0.22,-142
2016,150.0,-53.0,-1.06,-3.0,-146.0,-0.0,32.0,0.64,66
2017,63.0,22.0,0.44,47.0,-136.0,-0.0,24.0,0.48,144
2018,130.0,-103.0,-2.09,3.0,-164.0,-0.0,39.0,0.8,-543
2019,10.0,-15.0,-0.3,-12.0,-167.0,-0.0,-3.0,-0.06,86
