Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,15.0,2.0,2.0,2.0,0.0,0.0,-2.0,-2.0,0
2011,22.0,-3.0,-3.0,3.0,-1.0,-0.0,-3.0,-3.0,-166
2012,27.0,4.0,4.0,12.0,-1.0,-0.0,-4.0,-4.0,351
2013,36.0,7.0,7.0,19.0,-2.0,-0.0,-9.0,-9.0,59
2014,27.0,-9.0,-9.0,-9.0,-1.0,-0.0,-53.0,-53.0,-199
2015,36.0,6.0,6.0,18.0,-2.0,-0.0,22.0,22.0,187
2016,27.0,2.0,2.0,9.0,-2.0,-0.0,-38.0,-38.0,-57
2017,34.0,9.0,9.0,13.0,-8.0,-0.0,-6.0,-6.0,232
2018,25.0,-7.0,-7.0,3.0,130.0,43.33,30.0,30.0,-159
2019,41.0,-17.0,-17.0,-10.0,109.0,0.0,22.0,22.0,-167
