Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,2944.0,386.0,0.74,1002.0,-903.0,-0.0,998.0,1.9,0
2010,3798.0,773.0,1.49,1297.0,-946.0,-0.0,976.0,1.88,99
2011,4215.0,831.0,1.67,1365.0,-1397.0,-0.0,1334.0,2.68,7
2012,4402.0,831.0,1.68,1475.0,-2031.0,-0.0,1229.0,2.49,0
2013,4053.0,289.0,0.58,747.0,-1660.0,-0.0,988.0,1.97,-65
2014,4146.0,267.0,0.54,731.0,-2225.0,-0.0,1139.0,2.29,-7
2015,4794.0,627.0,1.27,1275.0,-2080.0,-0.0,1344.0,2.7,134
2016,5852.0,1167.0,2.34,1837.0,-2868.0,-0.0,1995.0,4.01,85
2017,7300.0,1692.0,3.44,2529.0,-3938.0,-0.0,2735.0,5.55,44
2018,9028.0,2590.0,5.2,3224.0,896.0,0.28,3762.0,7.57,53
2019,11169.0,2949.0,5.99,4044.0,-39.0,-0.0,4027.0,8.2,13
2020,11660.0,3230.0,6.58,4344.0,-58.0,-0.0,4310.0,8.85,9
