Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2185.0,310.0,4.08,369.0,-681.0,-0.0,606.0,7.97,0
2011,2138.0,-110.0,-1.57,-36.0,-740.0,-0.0,312.0,4.46,-135
2012,2297.0,279.0,3.93,367.0,-964.0,-0.0,472.0,6.65,356
2013,2421.0,328.0,4.97,382.0,-694.0,-0.0,550.0,8.33,17
2014,2645.0,354.0,5.54,395.0,-559.0,-0.0,581.0,9.08,7
2015,2752.0,322.0,5.28,365.0,-447.0,-0.0,560.0,9.18,-9
2016,2936.0,202.0,3.37,261.0,-609.0,-0.0,429.0,7.15,-37
2017,2652.0,-266.0,-4.51,-219.0,-461.0,-0.0,-144.0,-2.44,-230
2018,2530.0,-145.0,-2.45,-104.0,-659.0,-0.0,-327.0,-5.54,45
2019,2452.0,-165.0,-2.99,-131.0,-551.0,-0.0,-379.0,-6.89,-13
