Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,82.0,1.0,1.0,3.0,-6.0,-0.0,-10.0,-10.0,0
2012,87.0,4.0,0.56,2.0,-5.0,-0.0,-1.0,-0.14,148
2013,101.0,4.0,0.4,4.0,-9.0,-0.0,3.0,0.3,0
2014,99.0,4.0,1.32,4.0,-4.0,-0.0,-5.0,-1.67,0
2015,109.0,2.0,2.0,4.0,-13.0,-0.0,8.0,8.0,-40
2016,146.0,3.0,1.0,7.0,-7.0,-0.0,0.0,0.0,32
2017,146.0,-4.0,-4.0,0.0,15.0,0.0,-11.0,-11.0,-174
2018,192.0,2.0,2.0,7.0,42.0,6.0,-4.0,-4.0,200
2019,248.0,3.0,3.0,17.0,43.0,2.53,16.0,16.0,32
2020,254.0,14.0,8.5,20.0,78.0,3.9,11.0,5.5,274
