Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,878.0,84.0,0.84,181.0,0.0,0.0,114.0,1.16,0
2010,1827.0,173.0,1.64,297.0,1551.0,5.22,203.0,1.95,104
2011,2132.0,142.0,1.27,327.0,2015.0,6.16,238.0,2.16,-17
2012,2519.0,193.0,1.58,393.0,2371.0,6.03,293.0,2.42,35
2013,3177.0,283.0,2.05,486.0,3312.0,6.81,279.0,2.04,46
2014,4624.0,325.0,1.95,571.0,4701.0,8.23,356.0,2.17,14
2015,5390.0,387.0,2.05,649.0,4850.0,7.47,589.0,3.15,19
2016,5547.0,428.0,2.2,711.0,5299.0,7.45,432.0,2.25,10
2017,6111.0,516.0,2.64,777.0,7438.0,9.57,725.0,3.72,20
2018,6791.0,674.0,3.39,940.0,8743.0,9.3,641.0,3.24,30
2019,7054.0,714.0,3.82,1147.0,10350.0,9.02,980.0,5.27,5
2020,6926.0,718.0,3.82,1248.0,12318.0,9.87,1194.0,6.35,0
