Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,601.0,31.0,2.82,59.0,-1.0,-0.0,7.0,0.64,0
2012,632.0,27.0,2.46,53.0,-46.0,-0.0,47.0,4.27,-12
2013,680.0,34.0,2.84,60.0,-61.0,-0.0,21.0,1.75,24
2014,836.0,40.0,3.64,75.0,152.0,2.03,22.0,2.0,17
2015,878.0,41.0,3.73,94.0,119.0,1.27,43.0,3.91,2
2016,843.0,38.0,3.46,87.0,55.0,0.63,67.0,6.09,-7
2017,911.0,43.0,3.9,105.0,36.0,0.34,58.0,5.27,12
2018,1008.0,71.0,6.44,121.0,52.0,0.43,-10.0,-0.91,63
2019,1117.0,61.0,5.52,122.0,401.0,3.29,62.0,5.64,-13
2020,1170.0,61.0,5.52,131.0,405.0,3.09,99.0,9.0,0
