Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,173.0,-30.0,-0.68,35.0,0.0,0.0,15.0,0.34,0
2011,347.0,0.0,-0.01,133.0,548.0,4.12,31.0,0.69,103
2012,366.0,16.0,0.36,118.0,536.0,4.54,35.0,0.78,1583
2013,347.0,157.0,2.66,303.0,413.0,1.36,124.0,2.1,828
2014,313.0,-4.0,-0.08,64.0,397.0,6.2,5.0,0.1,-101
2015,230.0,14.0,0.27,86.0,152.0,1.77,-34.0,-0.67,601
2016,225.0,4.0,0.08,57.0,157.0,2.75,9.0,0.17,-66
2017,224.0,-4.0,-0.08,55.0,181.0,3.29,-3.0,-0.06,-159
2018,230.0,7.0,0.1,53.0,156.0,2.94,18.0,0.34,367
2019,230.0,5.0,0.06,55.0,148.0,2.69,14.0,0.26,-25
