Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1193.0,248.0,0.85,332.0,-1046.0,-0.0,361.0,1.23,0
2010,1953.0,781.0,2.55,893.0,-2265.0,-0.0,844.0,2.75,214
2011,2062.0,769.0,2.4,879.0,-2990.0,-0.0,929.0,2.89,-1
2012,1781.0,554.0,1.74,628.0,-2577.0,-0.0,526.0,1.64,-27
2013,1730.0,438.0,1.38,531.0,-1585.0,-0.0,548.0,1.71,-20
2014,1930.0,472.0,1.53,613.0,-1154.0,-0.0,626.0,2.03,7
2015,1727.0,336.0,1.11,471.0,-684.0,-0.0,487.0,1.61,-28
2016,1406.0,276.0,4.68,370.0,0.0,0.0,328.0,5.56,-17
2017,330.0,-98.0,-1.88,-20.0,-37.0,-0.0,9.0,0.17,-135
2018,394.0,12.0,0.15,40.0,-3.0,-0.0,36.0,0.49,113
2019,456.0,-6.0,-0.08,27.0,-44.0,-0.0,23.0,0.32,-138
2020,460.0,-13.0,-0.19,26.0,-66.0,-0.0,29.0,0.38,-140
