Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,194.0,42.0,0.24,51.0,0.0,0.0,31.0,0.18,0
2010,538.0,94.0,0.52,163.0,-357.0,-0.0,148.0,0.85,120
2011,782.0,173.0,0.9,244.0,-540.0,-0.0,248.0,1.32,83
2012,1132.0,253.0,1.29,425.0,-840.0,-0.0,388.0,2.0,45
2013,1549.0,252.0,1.79,557.0,-1400.0,-0.0,468.0,3.34,0
2014,2232.0,655.0,3.26,912.0,-1903.0,-0.0,504.0,2.52,159
2015,2602.0,144.0,2.35,703.0,2091.0,2.97,388.0,6.36,-77
2016,3084.0,399.0,1.75,1058.0,1785.0,1.69,754.0,3.34,175
2017,3549.0,443.0,1.95,1123.0,1414.0,1.26,758.0,3.38,10
2018,4129.0,77.0,3.5,680.0,1379.0,2.03,215.0,9.77,-82
2019,4990.0,2402.0,10.7,2531.0,-248.0,-0.0,1930.0,8.62,2980
2020,5294.0,2372.0,10.58,2698.0,107.0,0.04,2074.0,9.34,-1
