Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,531.0,47.0,0.68,163.0,0.0,0.0,58.0,0.84,0
2011,1184.0,125.0,1.78,626.0,2077.0,3.32,240.0,3.43,162
2012,1351.0,135.0,1.88,821.0,1544.0,1.88,551.0,7.65,7
2013,1590.0,287.0,3.99,1161.0,1908.0,1.64,-71.0,-0.99,111
2014,2174.0,263.0,3.67,1243.0,2573.0,2.07,335.0,4.65,-8
2015,2579.0,379.0,5.19,1563.0,2354.0,1.51,303.0,4.15,43
2016,2753.0,289.0,4.01,1595.0,2342.0,1.47,436.0,6.06,-23
2017,2804.0,487.0,7.49,1836.0,2545.0,1.39,306.0,4.71,68
2018,2969.0,462.0,7.95,1831.0,2560.0,1.4,516.0,8.9,-5
2019,3059.0,407.0,7.12,1723.0,3129.0,1.82,392.0,6.88,-11
2020,3009.0,330.0,5.79,1659.0,2894.0,1.74,429.0,7.66,-18
