Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1482.0,136.0,5.04,265.0,180.0,0.68,211.0,7.81,0
2010,1599.0,111.0,3.97,244.0,61.0,0.25,144.0,5.14,-18
2011,1417.0,-383.0,-13.68,-430.0,96.0,0.0,96.0,3.43,-441
2012,1439.0,-101.0,-3.49,-65.0,87.0,0.0,21.0,0.72,73
2013,1247.0,-97.0,-3.14,-113.0,29.0,0.0,61.0,1.97,3
2014,1203.0,12.0,0.37,54.0,108.0,2.0,-77.0,-2.41,113
2015,1279.0,-3.0,-0.1,19.0,69.0,3.63,105.0,3.18,-115
2016,1435.0,35.0,1.05,80.0,62.0,0.78,46.0,1.39,1909
2017,1532.0,30.0,0.88,98.0,2.0,0.02,96.0,2.82,-13
2018,1661.0,118.0,3.55,171.0,-14.0,-0.0,215.0,6.52,283
2019,1954.0,126.0,3.92,232.0,211.0,0.91,195.0,6.09,6
2020,1978.0,127.0,3.92,235.0,216.0,0.92,181.0,5.48,0
