Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,99.0,-5.0,-1.0,3.0,0.0,0.0,1.0,0.2,0
2011,225.0,-10.0,-1.67,32.0,65.0,2.03,58.0,9.67,-125
2012,206.0,-7.0,-0.78,19.0,127.0,6.68,6.0,0.67,33
2013,292.0,-31.0,-4.43,9.0,131.0,14.56,-8.0,-1.14,-400
2014,307.0,-96.0,-7.38,-59.0,373.0,0.0,-70.0,-5.38,-216
2015,748.0,-199.0,-4.97,-83.0,527.0,0.0,-112.0,-2.8,-108
2016,586.0,-46.0,-1.44,50.0,1235.0,24.7,-46.0,-1.44,77
2017,650.0,-217.0,-4.72,-139.0,1200.0,0.0,99.0,2.15,-380
2018,1955.0,-6.0,-0.6,120.0,1013.0,8.44,242.0,24.2,97
2019,1922.0,-6.0,-0.18,119.0,1031.0,8.66,231.0,6.79,0
