Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,41.0,2.0,0.28,2.0,0.0,0.0,0.0,0.0,0
2011,109.0,5.0,0.64,9.0,-8.0,-0.0,3.0,0.38,99
2012,99.0,4.0,0.52,8.0,-8.0,-0.0,1.0,0.13,-16
2013,124.0,4.0,0.52,8.0,79.0,9.88,6.0,0.75,0
2014,248.0,12.0,1.32,30.0,61.0,2.03,14.0,1.56,159
2015,230.0,10.0,1.1,27.0,45.0,1.67,15.0,1.67,-15
2016,244.0,8.0,0.88,27.0,56.0,2.07,10.0,1.11,-18
2017,250.0,8.0,0.88,26.0,38.0,1.46,20.0,2.22,0
2018,308.0,14.0,1.54,34.0,114.0,3.35,2.0,0.22,66
2019,368.0,15.0,1.65,43.0,96.0,2.23,22.0,2.44,6
2020,367.0,15.0,1.65,42.0,116.0,2.76,23.0,2.56,0
