Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-3.0,-0.16,-3.0,0.0,0.0,-1.0,-0.06,0
2011,2.0,-16.0,-0.64,-16.0,-11.0,-0.0,-9.0,-0.36,-653
2012,4.0,-9.0,-0.23,-9.0,-17.0,-0.0,-8.0,-0.24,46
2013,4.0,-23.0,-0.58,-23.0,-26.0,-0.0,-21.0,-0.55,-175
2014,2.0,-37.0,-0.74,-29.0,-50.0,-0.0,-36.0,-0.72,-63
2015,0.0,-31.0,-0.58,-22.0,-15.0,-0.0,-29.0,-0.57,16
2016,0.0,-17.0,-0.3,-16.0,-5.0,-0.0,-13.0,-0.25,46
2017,0.0,-50.0,-0.76,-48.0,-8.0,-0.0,-13.0,-0.2,-206
2018,0.0,32.0,0.44,33.0,-7.0,-0.0,-14.0,-0.2,167
2019,0.0,-12.0,-0.08,-11.0,-6.0,-0.0,-17.0,-0.13,-133
2020,0.0,-12.0,-0.08,-10.0,-2.0,-0.0,-18.0,-0.11,0
