Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,11.0,2.0,0.02,1.0,0.0,0.0,2.0,0.01,0
2011,12.0,2.0,0.22,3.0,-31.0,-0.0,2.0,0.22,0
2012,20.0,4.0,0.44,7.0,-37.0,-0.0,8.0,0.89,66
2013,17.0,4.0,0.44,8.0,-1.0,-0.0,6.0,0.67,0
2014,20.0,4.0,0.52,8.0,-12.0,-0.0,3.0,0.38,0
2015,20.0,4.0,0.56,10.0,-13.0,-0.0,2.0,0.29,0
2016,20.0,4.0,0.68,10.0,-12.0,-0.0,7.0,1.17,0
2017,20.0,2.0,0.34,8.0,-23.0,-0.0,1.0,0.17,-40
2018,20.0,4.0,0.8,7.0,-5.0,-0.0,3.0,0.6,66
2019,23.0,4.0,0.8,7.0,4.0,0.57,2.0,0.4,0
2020,24.0,4.0,0.8,8.0,0.0,0.0,0.0,0.0,0
