Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,8.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0
2011,21.0,4.0,0.08,9.0,15.0,1.67,0.0,0.0,66
2012,16.0,4.0,0.04,8.0,28.0,3.5,-2.0,-0.03,0
2013,-1.0,-2.0,-2.0,6.0,26.0,4.33,2.0,2.0,-119
2014,13.0,0.0,0.0,7.0,21.0,3.0,-1.0,-1.0,201
2015,15.0,2.0,0.08,8.0,11.0,1.38,5.0,0.2,197
2016,17.0,4.0,0.16,10.0,10.0,1.0,4.0,0.17,66
2017,17.0,4.0,0.32,8.0,8.0,1.0,2.0,0.17,0
2018,18.0,4.0,0.16,8.0,8.0,1.0,2.0,0.08,0
2019,19.0,4.0,0.8,8.0,5.0,0.63,1.0,0.2,0
