Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,451.0,-18.0,-1.28,-3.0,-30.0,-0.0,7.0,0.5,0
2012,514.0,-18.0,-1.28,-8.0,-42.0,-0.0,6.0,0.43,0
2013,629.0,9.0,0.64,31.0,-72.0,-0.0,19.0,1.36,158
2014,725.0,18.0,1.19,47.0,-114.0,-0.0,30.0,2.0,89
2015,822.0,34.0,2.27,67.0,-162.0,-0.0,39.0,2.6,84
2016,945.0,58.0,3.63,107.0,-176.0,-0.0,42.0,2.63,68
2017,1029.0,69.0,4.31,125.0,-211.0,-0.0,51.0,3.19,18
2018,1247.0,61.0,3.82,149.0,727.0,4.88,38.0,2.38,-11
2019,1643.0,82.0,4.8,242.0,633.0,2.62,151.0,8.88,33
2020,1657.0,82.0,5.03,261.0,555.0,2.13,125.0,7.81,0
