Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,2.0,0.16,2.0,0.0,0.0,2.0,0.15,0
2011,63.0,7.0,0.53,15.0,-25.0,-0.0,5.0,0.38,165
2012,69.0,9.0,0.64,22.0,-35.0,-0.0,6.0,0.43,24
2013,73.0,18.0,1.29,36.0,-63.0,-0.0,20.0,1.43,89
2014,105.0,37.0,2.47,65.0,-106.0,-0.0,34.0,2.27,99
2015,90.0,29.0,1.93,51.0,-137.0,-0.0,27.0,1.8,-21
2016,101.0,30.0,1.99,52.0,-124.0,-0.0,12.0,0.8,3
2017,112.0,30.0,1.99,48.0,-157.0,-0.0,32.0,2.13,0
2018,315.0,18.0,1.29,27.0,-158.0,-0.0,28.0,2.0,-38
2019,391.0,26.0,1.84,38.0,-184.0,-0.0,32.0,2.29,42
