Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1.0,-2.0,-0.01,0.0,0.0,0.0,0.0,0.0,0
2011,4.0,-9.0,-0.03,-6.0,1.0,0.0,-5.0,-0.01,-708
2012,4.0,-5.0,-0.55,-4.0,-1.0,-0.0,-7.0,-0.78,49
2013,4.0,-16.0,-1.45,-8.0,-6.0,-0.0,-9.0,-0.82,-275
2014,4.0,-11.0,-0.84,-10.0,0.0,0.0,-12.0,-0.92,33
2015,7.0,-10.0,-0.57,-7.0,-7.0,-0.0,-9.0,-0.5,9
2016,4.0,-10.0,-0.44,-10.0,-4.0,-0.0,-12.0,-0.52,0
2017,4.0,-10.0,-0.4,-10.0,-2.0,-0.0,-10.0,-0.38,0
2018,4.0,-10.0,-0.34,-10.0,0.0,0.0,-8.0,-0.28,0
2019,4.0,-7.0,-7.0,-5.0,0.0,0.0,-7.0,-7.0,33
2020,5.0,-9.0,-5.25,-4.0,-7.0,-0.0,-7.0,-1.75,-33
