Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0
2011,8.0,-9.0,-1.12,-9.0,7.0,0.0,-5.0,-0.63,-809
2012,-8.0,-30.0,-2.72,-22.0,-2.0,-0.0,-3.0,-0.27,-233
2013,4.0,-12.0,-0.84,-9.0,7.0,0.0,-5.0,-0.36,59
2014,20.0,-17.0,-0.47,-14.0,-19.0,-0.0,-7.0,-0.21,-41
2015,27.0,-23.0,-0.59,-20.0,11.0,0.0,-13.0,-0.34,-35
2016,20.0,-26.0,-0.32,-13.0,14.0,0.0,-6.0,-0.08,-13
2017,37.0,-22.0,-0.3,-14.0,14.0,0.0,-6.0,-0.09,15
2018,70.0,-51.0,-0.51,-5.0,12.0,0.0,7.0,0.07,-131
2019,100.0,-5.0,-0.08,5.0,4.0,0.8,2.0,0.03,90
2020,124.0,-5.0,-0.08,12.0,-13.0,-0.0,20.0,0.22,0
