Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,21.0,2.0,0.1,1.0,0.0,0.0,1.0,0.05,0
2011,37.0,2.0,0.1,2.0,-7.0,-0.0,-1.0,-0.05,0
2012,38.0,4.0,0.2,4.0,-5.0,-0.0,-5.0,-0.25,66
2013,42.0,4.0,0.2,4.0,-9.0,-0.0,1.0,0.05,0
2014,46.0,4.0,0.24,4.0,-7.0,-0.0,-5.0,-0.28,0
2015,44.0,4.0,0.24,4.0,-10.0,-0.0,0.0,0.0,0
2016,43.0,4.0,0.24,4.0,-10.0,-0.0,2.0,0.13,0
2017,42.0,4.0,0.28,4.0,-9.0,-0.0,2.0,0.14,0
2018,45.0,4.0,0.28,4.0,-8.0,-0.0,-2.0,-0.15,0
2019,45.0,4.0,0.28,4.0,-7.0,-0.0,-1.0,-0.08,0
2020,51.0,8.0,0.59,7.0,-18.0,-0.0,9.0,0.69,79
