Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,68.0,-28.0,-2.14,15.0,0.0,0.0,-10.0,-0.77,0
2011,1.0,-1.0,-0.2,1.0,0.0,0.0,2.0,0.4,100
2012,99.0,-5.0,-0.71,51.0,0.0,0.0,-34.0,-4.86,-40099
2013,99.0,50.0,3.56,25.0,24.0,0.96,-44.0,-3.14,1378
2014,98.0,40.0,2.34,39.0,647.0,16.59,-40.0,-2.35,-19
2015,118.0,-4.0,-0.21,45.0,789.0,17.53,-40.0,-2.11,-107
2016,141.0,-2.0,-0.13,64.0,834.0,13.03,8.0,0.53,66
2017,148.0,-8.0,-0.52,70.0,868.0,12.4,-32.0,-2.13,-607
2018,158.0,181.0,12.06,81.0,250.0,3.09,-173.0,-11.53,2703
2019,52.0,-19.0,-1.26,-19.0,203.0,0.0,-68.0,-4.53,-109
