Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1356.0,-511.0,0.3,68.0,0.0,0.0,112.0,-0.07,0
2010,2415.0,-114.0,0.86,334.0,1853.0,5.55,156.0,-1.16,77
2011,2611.0,-338.0,0.83,206.0,1752.0,8.5,-105.0,0.26,-198
2012,2792.0,-37.0,2.18,398.0,1530.0,3.84,-3.0,0.18,89
2013,861.0,126.0,1.52,312.0,1467.0,4.7,142.0,1.73,452
2014,959.0,87.0,1.14,301.0,2024.0,6.72,7.0,0.09,-30
2015,996.0,-124.0,1.12,251.0,1575.0,6.27,192.0,-1.75,-239
2016,805.0,-64.0,1.1,209.0,1438.0,6.88,200.0,-3.51,48
2017,791.0,19.0,1.9,243.0,1407.0,5.79,25.0,2.5,131
2018,1575.0,27.0,0.69,327.0,1524.0,4.66,-60.0,-1.58,39
2019,1271.0,96.0,0.68,386.0,1839.0,4.76,-14.0,-0.1,246
2020,1176.0,16.0,0.15,305.0,1808.0,5.93,56.0,0.37,-82
