Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,40.0,10.0,0.9,8.0,131.0,16.38,5.0,0.45,0
2011,82.0,20.0,1.68,37.0,99.0,2.68,29.0,2.42,90
2012,83.0,20.0,1.68,39.0,54.0,1.38,26.0,2.17,0
2013,82.0,20.0,1.68,38.0,67.0,1.76,34.0,2.83,0
2014,87.0,22.0,1.68,38.0,55.0,1.45,29.0,2.23,9
2015,91.0,22.0,1.68,39.0,123.0,3.15,27.0,2.08,0
2016,98.0,24.0,1.84,42.0,155.0,3.69,31.0,2.38,8
2017,104.0,28.0,2.16,43.0,138.0,3.21,33.0,2.54,15
2018,111.0,34.0,2.42,48.0,243.0,5.06,36.0,2.57,20
2019,119.0,35.0,2.49,56.0,133.0,2.38,38.0,2.71,2
2020,121.0,35.0,2.45,55.0,38.0,0.69,41.0,2.73,0
