Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,-55.0,2.0,0.02,-1.0,-2.0,-0.0,3.0,0.05,0
2011,60.0,-10.0,0.01,-2.0,5.0,0.0,-10.0,0.03,-399
2012,79.0,-1.0,0.09,0.0,10.0,0.0,-9.0,0.82,100
2013,87.0,2.0,0.2,5.0,-3.0,-0.0,8.0,0.8,29899
2014,101.0,4.0,0.16,8.0,9.0,1.13,3.0,0.14,66
2015,95.0,-3.0,0.19,3.0,9.0,3.0,3.0,-0.2,-139
2016,91.0,-3.0,-3.0,3.0,5.0,1.67,-1.0,-1.0,0
2017,96.0,6.0,0.46,5.0,10.0,2.0,-3.0,-0.23,451
2018,94.0,4.0,0.16,4.0,9.0,2.25,-3.0,-0.12,-28
2019,89.0,0.0,-0.96,2.0,13.0,6.5,-6.0,-6.0,-80
