Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,12.0,3.0,0.21,0.0,0.0,0.0,0.0,0.0,0
2011,41.0,8.0,0.56,15.0,-35.0,-0.0,12.0,0.86,124
2012,43.0,8.0,0.56,16.0,-44.0,-0.0,11.0,0.79,0
2013,38.0,1.0,0.08,2.0,-58.0,-0.0,12.0,0.92,-77
2014,58.0,7.0,0.55,11.0,-62.0,-0.0,-2.0,-0.15,298
2015,42.0,4.0,0.32,5.0,-32.0,-0.0,-22.0,-1.69,-37
2016,57.0,10.0,0.84,12.0,-7.0,-0.0,-1.0,-0.08,119
2017,33.0,-9.0,-1.14,-8.0,-22.0,-0.0,-12.0,-1.5,-172
2018,24.0,3.0,0.51,8.0,-44.0,-0.0,2.0,0.33,150
2019,22.0,5.0,0.81,8.0,-60.0,-0.0,9.0,1.5,49
2020,18.0,5.0,0.81,8.0,-63.0,-0.0,9.0,1.5,0
