Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,-3.0,-3.0,1.0,0.0,0.0,-1.0,-1.0,0
2011,0.0,-31.0,-3.45,-31.0,-36.0,-0.0,-25.0,-2.78,-1407
2012,0.0,-23.0,-1.92,-23.0,-20.0,-0.0,-22.0,-1.83,26
2013,0.0,-17.0,-5.66,-17.0,-27.0,-0.0,-18.0,-6.0,27
2014,0.0,-23.0,-3.83,-23.0,-29.0,-0.0,-16.0,-2.67,-37
2015,0.0,-26.0,-1.74,-29.0,-67.0,-0.0,-20.0,-1.33,-13
2016,0.0,-42.0,-2.48,-43.0,-52.0,-0.0,-36.0,-2.12,-64
2017,8.0,-41.0,-2.41,-50.0,-119.0,-0.0,1.0,0.06,2
2018,13.0,-89.0,-4.03,-91.0,-217.0,-0.0,-67.0,-3.05,-120
2019,14.0,-96.0,-3.67,-102.0,-273.0,-0.0,-85.0,-3.27,-7
