Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,8.0,-1.0,-0.33,0.0,-1.0,0.0,-2.0,-0.67,0
2011,9.0,0.0,0.0,4.0,5.0,1.25,0.0,0.0,100
2012,18.0,-4.0,-0.8,4.0,17.0,4.25,0.0,0.0,-40099
2013,23.0,-2.0,-0.4,4.0,13.0,3.25,2.0,0.4,49
2014,26.0,2.0,0.34,5.0,14.0,2.8,0.0,0.0,200
2015,25.0,-2.0,-0.34,4.0,12.0,3.0,0.0,0.0,-199
2016,33.0,2.0,0.34,2.0,17.0,8.5,-6.0,-1.0,200
2017,52.0,-4.0,-0.4,5.0,47.0,9.4,-4.0,-0.4,-299
2018,87.0,-6.0,-0.42,7.0,96.0,13.71,-11.0,-0.79,-50
2019,71.0,32.0,2.14,-32.0,-2.0,-0.0,-4.0,-0.27,634
