Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,3053.0,38.0,0.39,224.0,362.0,1.62,-195.0,-2.01,0
2010,4046.0,77.0,0.8,329.0,630.0,1.91,-190.0,-1.96,99
2011,4810.0,222.0,2.18,588.0,1129.0,1.92,20.0,0.2,185
2012,4665.0,166.0,1.57,497.0,1176.0,2.37,48.0,0.45,-25
2013,4042.0,160.0,1.51,99.0,920.0,9.29,-242.0,-2.28,-3
2014,4222.0,9.0,0.1,285.0,1246.0,4.37,-168.0,-1.95,-93
2015,3717.0,-365.0,-3.41,-178.0,1345.0,0.0,-13.0,-0.12,-3736
2016,3133.0,-627.0,-5.87,-439.0,1647.0,0.0,-244.0,-2.28,-71
2017,3523.0,-80.0,-0.72,244.0,1399.0,5.73,-100.0,-0.91,87
2018,4045.0,235.0,1.68,502.0,1159.0,2.31,255.0,1.85,398
2019,4120.0,269.0,1.92,512.0,908.0,1.77,153.0,1.1,14
2020,4071.0,276.0,1.99,525.0,1061.0,2.02,165.0,1.31,2
