Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,17.0,6.0,0.66,5.0,0.0,0.0,2.0,0.22,0
2011,36.0,12.0,1.32,23.0,13.0,0.57,15.0,1.67,85
2012,37.0,12.0,1.32,25.0,0.0,0.0,17.0,1.89,0
2013,39.0,12.0,1.32,23.0,10.0,0.43,18.0,2.0,0
2014,43.0,13.0,1.43,24.0,14.0,0.58,15.0,1.67,7
2015,46.0,13.0,1.43,24.0,7.0,0.29,17.0,1.89,0
2016,46.0,14.0,1.54,24.0,-2.0,-0.0,15.0,1.67,7
2017,47.0,11.0,1.21,24.0,0.0,0.0,14.0,1.56,-20
2018,48.0,16.0,1.76,23.0,-16.0,-0.0,15.0,1.67,41
2019,51.0,16.0,1.76,22.0,-29.0,-0.0,14.0,1.56,0
2020,54.0,15.0,3.11,20.0,-29.0,-0.0,19.0,0.0,-5
