Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,13.0,2.0,0.66,2.0,0.0,0.0,2.0,0.67,0
2011,22.0,4.0,1.32,8.0,73.0,9.13,12.0,4.0,66
2012,30.0,5.0,1.66,9.0,29.0,3.22,14.0,4.67,19
2013,26.0,4.0,1.32,11.0,-1.0,-0.0,13.0,4.33,-16
2014,24.0,4.0,1.32,12.0,0.0,0.0,10.0,3.33,0
2015,24.0,5.0,1.66,12.0,-2.0,-0.0,10.0,3.33,19
2016,24.0,6.0,2.0,12.0,-12.0,-0.0,9.0,3.0,16
2017,26.0,5.0,1.66,12.0,-9.0,-0.0,6.0,2.0,-14
2018,28.0,7.0,2.31,12.0,-13.0,-0.0,10.0,3.33,33
2019,29.0,8.0,2.64,13.0,-15.0,-0.0,9.0,3.0,12
