Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,327.0,-21.0,-0.56,1.0,0.0,0.0,-13.0,-0.34,0
2011,675.0,-23.0,-0.61,10.0,-32.0,-0.0,-10.0,-0.26,-10
2012,634.0,94.0,2.46,81.0,-70.0,-0.0,35.0,0.92,532
2013,562.0,20.0,0.52,46.0,-48.0,-0.0,-18.0,-0.46,-77
2014,528.0,14.0,0.36,36.0,-25.0,-0.0,-20.0,-0.51,-28
2015,503.0,2.0,0.05,28.0,78.0,2.79,-46.0,-1.15,-80
2016,511.0,46.0,1.16,97.0,144.0,1.48,-57.0,-1.43,1461
2017,418.0,-11.0,-0.26,36.0,147.0,4.08,2.0,0.05,-121
2018,411.0,-10.0,-0.24,41.0,164.0,4.0,9.0,0.22,9
2019,503.0,7.0,0.15,47.0,130.0,2.77,15.0,0.35,188
2020,486.0,3.0,0.05,38.0,139.0,3.66,4.0,0.1,-50
