Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,-1.0,-1.0,-0.04,-1.0,0.0,0.0,-2.0,-0.1,0
2011,0.0,-4.0,-0.16,-4.0,0.0,0.0,-4.0,-0.16,-304
2012,2.0,-8.0,-0.27,-5.0,0.0,0.0,-4.0,-0.14,-100
2013,1.0,-5.0,-0.15,-4.0,0.0,0.0,-4.0,-0.13,37
2014,0.0,-9.0,-0.99,0.0,-1.0,0.0,-6.0,-0.67,-80
2015,0.0,-11.0,-0.59,-6.0,-13.0,-0.0,-4.0,-0.22,-22
2016,1.0,-13.0,-0.35,-14.0,-9.0,-0.0,-7.0,-0.2,-18
2017,0.0,-12.0,-0.28,-14.0,-27.0,-0.0,-8.0,-0.2,7
2018,0.0,-15.0,-0.33,-17.0,-22.0,-0.0,-11.0,-0.25,-25
2019,0.0,-25.0,-0.5,-28.0,-22.0,-0.0,-17.0,-0.35,-66
