Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1463.0,50.0,0.88,123.0,0.0,0.0,65.0,1.16,0
2011,2722.0,110.0,1.91,300.0,362.0,1.21,54.0,0.95,117
2012,2427.0,129.0,2.2,343.0,735.0,2.14,39.0,0.67,17
2013,2525.0,92.0,1.59,334.0,953.0,2.85,8.0,0.14,-28
2014,1294.0,62.0,1.44,257.0,857.0,3.33,-6.0,-0.14,-32
2015,804.0,93.0,2.15,190.0,779.0,4.1,34.0,0.79,49
2016,836.0,104.0,2.88,214.0,732.0,3.42,-55.0,-1.53,11
2017,891.0,153.0,2.87,278.0,690.0,2.48,80.0,1.51,46
2018,973.0,184.0,3.59,285.0,494.0,1.73,132.0,2.59,20
2019,1037.0,213.0,4.32,312.0,565.0,1.81,112.0,2.29,15
2020,1043.0,-52.0,-1.17,-38.0,574.0,0.0,125.0,2.6,-123
