Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1291.0,142.0,0.83,530.0,0.0,0.0,51.0,0.3,0
2010,2552.0,266.0,1.52,1065.0,5645.0,5.3,9.0,0.05,86
2011,2663.0,308.0,1.73,1160.0,5868.0,5.06,-106.0,-0.6,15
2012,2851.0,356.0,2.0,1322.0,5551.0,4.2,589.0,3.33,15
2013,2878.0,367.0,2.05,1361.0,5830.0,4.28,-82.0,-0.46,3
2014,3010.0,422.0,2.32,1431.0,5915.0,4.13,155.0,0.87,14
2015,3159.0,476.0,2.63,1530.0,6499.0,4.25,40.0,0.22,12
2016,3302.0,468.0,2.61,1565.0,7097.0,4.53,-13.0,-0.07,-1
2017,3357.0,426.0,2.94,1753.0,7662.0,4.37,30.0,0.21,-8
2018,3440.0,565.0,3.14,1686.0,8474.0,5.03,-165.0,-0.92,32
2019,3610.0,621.0,3.41,1801.0,9393.0,5.22,-223.0,-1.23,9
2020,3641.0,632.0,3.47,1812.0,9755.0,5.38,-306.0,-1.69,1
