Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,23.0,-2.0,-0.66,1.0,0.0,0.0,0.0,0.0,0
2011,51.0,2.0,0.66,4.0,-6.0,-0.0,0.0,0.0,403
2012,47.0,0.0,0.0,4.0,-6.0,-0.0,0.0,0.0,-66
2013,57.0,0.0,0.0,4.0,-8.0,-0.0,-4.0,-1.0,0
2014,50.0,-2.0,-0.66,2.0,0.0,0.0,-8.0,-2.67,-199
2015,50.0,-2.0,-0.66,2.0,7.0,3.5,-4.0,-1.33,-1
2016,59.0,0.0,0.0,2.0,10.0,5.0,-2.0,-0.67,201
2017,54.0,0.0,0.0,2.0,10.0,5.0,-4.0,-1.33,0
2018,71.0,-2.0,-0.67,1.0,10.0,10.0,-2.0,-0.67,-199
2019,67.0,0.0,0.0,4.0,21.0,5.25,-3.0,-1.0,201
