Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,4.0,0.05,5.0,0.0,0.0,8.0,0.09,0
2011,62.0,13.0,0.14,34.0,127.0,3.74,24.0,0.27,179
2012,64.0,-18.0,-0.2,28.0,123.0,4.39,49.0,0.54,-221
2013,91.0,37.0,0.4,77.0,38.0,0.49,49.0,0.53,323
2014,132.0,62.0,0.62,107.0,75.0,0.7,95.0,0.94,65
2015,65.0,-126.0,-1.21,-84.0,137.0,0.0,6.0,0.06,-298
2016,55.0,-94.0,-0.77,-66.0,97.0,0.0,30.0,0.25,25
2017,84.0,15.0,0.09,44.0,87.0,1.98,38.0,0.23,117
2018,146.0,56.0,0.32,105.0,183.0,1.74,80.0,0.48,256
2019,134.0,58.0,0.4,120.0,194.0,1.62,73.0,1.87,3
