Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,14619.0,1468.0,1.26,2031.0,0.0,0.0,8508.0,7.35,0
2009,24336.0,2130.0,1.8,3911.0,83118.0,21.25,5615.0,4.8,45
2010,27582.0,4057.0,3.38,6881.0,76722.0,11.15,8057.0,6.74,90
2011,29962.0,4935.0,4.15,8607.0,70044.0,8.14,14775.0,12.48,21
2012,31555.0,4482.0,3.91,7442.0,69935.0,9.4,6029.0,5.28,-9
2013,32870.0,5359.0,4.91,8908.0,68256.0,7.66,7541.0,6.92,19
2014,34188.0,5885.0,5.58,10003.0,69637.0,6.96,9795.0,9.32,9
2015,32818.0,5163.0,5.13,8981.0,61502.0,6.85,9365.0,9.34,-12
2016,35438.0,5375.0,5.73,9137.0,59332.0,6.49,6916.0,7.4,4
2017,36878.0,2748.0,3.09,8746.0,68591.0,7.84,12478.0,14.08,-48
2018,40338.0,6921.0,8.04,8807.0,70359.0,7.99,7620.0,8.87,151
2019,43556.0,6759.0,8.13,9031.0,73613.0,8.15,11987.0,14.44,-2
2020,43502.0,7126.0,8.58,7565.0,61629.0,8.15,1234.0,1.53,5
