Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,515.0,20.0,0.38,44.0,0.0,0.0,73.0,1.43,0
2010,1026.0,51.0,0.94,141.0,339.0,2.4,38.0,0.72,147
2011,864.0,65.0,1.14,160.0,283.0,1.77,89.0,1.59,26
2012,927.0,93.0,1.7,163.0,560.0,3.44,100.0,1.85,42
2013,1090.0,268.0,4.96,186.0,477.0,2.56,-44.0,-0.81,186
2014,1261.0,116.0,2.13,259.0,457.0,1.76,139.0,2.57,-56
2015,1192.0,120.0,2.2,244.0,426.0,1.75,175.0,3.24,3
2016,1229.0,133.0,2.48,273.0,434.0,1.59,172.0,3.25,10
2017,1435.0,59.0,2.95,299.0,386.0,1.29,148.0,7.4,-55
2018,1494.0,164.0,3.15,316.0,843.0,2.67,182.0,3.5,174
2019,1489.0,155.0,3.02,324.0,-84.0,-0.0,196.0,3.84,-5
2020,1443.0,151.0,2.94,322.0,701.0,2.18,192.0,3.76,-2
