Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,106.0,22.0,0.74,40.0,-78.0,-0.0,13.0,0.45,0
2011,232.0,44.0,1.49,82.0,-101.0,-0.0,59.0,2.03,95
2012,251.0,50.0,1.7,90.0,-174.0,-0.0,55.0,1.9,13
2013,252.0,52.0,1.77,91.0,-159.0,-0.0,69.0,2.38,3
2014,276.0,61.0,2.02,101.0,-174.0,-0.0,64.0,2.13,16
2015,292.0,64.0,2.13,112.0,-171.0,-0.0,64.0,2.13,4
2016,308.0,68.0,2.25,119.0,-151.0,-0.0,80.0,2.67,6
2017,343.0,85.0,2.72,146.0,-184.0,-0.0,86.0,2.77,24
2018,384.0,123.0,3.83,171.0,-201.0,-0.0,79.0,2.47,44
2019,416.0,133.0,4.14,174.0,-195.0,-0.0,139.0,4.34,8
