Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,372.0,-19.0,-0.47,60.0,0.0,0.0,10.0,0.25,0
2011,1241.0,45.0,45.0,340.0,704.0,2.07,77.0,77.0,355
2012,1373.0,18.0,18.0,287.0,748.0,2.61,145.0,145.0,-58
2013,1261.0,-33.0,-33.0,222.0,776.0,3.5,48.0,48.0,-268
2014,2980.0,-8.0,-8.0,281.0,851.0,3.03,73.0,73.0,78
2015,1609.0,-240.0,-240.0,-58.0,830.0,0.0,49.0,49.0,-3319
2016,1094.0,-123.0,-123.0,-234.0,124.0,0.0,-178.0,-178.0,48
2017,3708.0,-94.0,-94.0,57.0,276.0,4.84,-25.0,-25.0,23
2018,4132.0,-143.0,-143.0,57.0,259.0,4.54,23.0,23.0,-52
2019,5132.0,-179.0,-138.0,29.0,290.0,10.0,-18.0,0.0,-25
