Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,48.0,4.0,0.18,12.0,0.0,0.0,3.0,0.14,0
2011,96.0,8.0,0.44,25.0,112.0,4.48,15.0,0.88,79
2012,98.0,9.0,0.48,28.0,105.0,3.75,14.0,0.78,10
2013,54.0,10.0,0.5,11.0,92.0,8.36,13.0,0.68,9
2014,57.0,39.0,1.76,6.0,82.0,13.67,11.0,0.5,263
2015,105.0,5.0,0.45,18.0,73.0,4.06,10.0,0.91,-85
2016,134.0,45.0,2.03,69.0,233.0,3.38,12.0,0.55,665
2017,230.0,85.0,3.13,68.0,201.0,2.96,58.0,2.15,86
2018,256.0,5.0,0.63,40.0,229.0,5.73,18.0,2.25,-93
2019,260.0,12.0,0.42,44.0,237.0,5.39,37.0,1.37,116
