Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1552.0,62.0,1.16,123.0,0.0,0.0,6.0,0.11,0
2010,2975.0,21.0,1.4,310.0,0.0,0.0,103.0,6.87,-65
2011,3661.0,59.0,1.55,358.0,207.0,0.58,85.0,2.24,172
2012,3575.0,108.0,1.81,316.0,187.0,0.59,93.0,1.58,81
2013,3776.0,57.0,1.89,329.0,180.0,0.55,35.0,1.17,-46
2014,3561.0,-114.0,1.62,136.0,290.0,2.13,66.0,-0.94,-294
2015,3060.0,-12.0,1.5,199.0,249.0,1.25,99.0,-12.38,90
2016,3018.0,32.0,1.1,275.0,259.0,0.94,85.0,2.93,400
2017,3345.0,16.0,1.6,359.0,622.0,1.73,124.0,12.4,-48
2018,3487.0,-34.0,-34.0,354.0,1210.0,3.42,214.0,214.0,-294
2019,3682.0,61.0,1.17,368.0,1331.0,3.62,214.0,4.2,287
