Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,19.0,-20.0,-0.46,-10.0,0.0,0.0,-10.0,-0.23,0
2011,18.0,-56.0,-1.25,-46.0,-11.0,-0.0,-34.0,-0.76,-189
2012,25.0,-38.0,-0.76,-30.0,-4.0,-0.0,-38.0,-0.78,32
2013,16.0,-29.0,-0.53,-28.0,-7.0,-0.0,-26.0,-0.47,24
2014,12.0,-43.0,-0.65,-43.0,-42.0,-0.0,-39.0,-0.59,-50
2015,45.0,-43.0,-0.59,-37.0,-23.0,-0.0,-18.0,-0.25,0
2016,23.0,-53.0,-0.72,-44.0,-4.0,-0.0,-55.0,-0.75,-23
2017,23.0,-64.0,-0.77,-54.0,-63.0,-0.0,-41.0,-0.49,-21
2018,18.0,-99.0,-0.95,-90.0,-45.0,-0.0,-94.0,-0.91,-55
2019,9.0,-132.0,-2.85,-121.0,12.0,0.0,-104.0,-2.6,-33
