Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
2011,71.0,4.0,4.0,5.0,4.0,0.8,0.0,0.0,148
2012,75.0,4.0,4.0,4.0,5.0,1.25,1.0,1.0,0
2013,81.0,4.0,4.0,6.0,6.0,1.0,0.0,0.0,0
2014,87.0,4.0,4.0,6.0,4.0,0.67,2.0,2.0,0
2015,97.0,4.0,4.0,8.0,2.0,0.25,5.0,5.0,0
2016,101.0,4.0,4.0,8.0,-1.0,-0.0,4.0,4.0,0
2017,104.0,4.0,4.0,7.0,3.0,0.43,2.0,2.0,0
2018,112.0,4.0,4.0,9.0,0.0,0.0,9.0,9.0,0
2019,114.0,4.0,4.0,7.0,-1.0,-0.0,7.0,7.0,0
2020,117.0,4.0,4.0,8.0,-1.0,-0.0,8.0,8.0,0
