Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,28.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,0
2011,68.0,-48.0,-2.4,-31.0,-15.0,-0.0,14.0,0.7,-4753
2012,63.0,-27.0,-1.35,-24.0,-270.0,-0.0,12.0,0.6,44
2013,52.0,4.0,0.16,6.0,-12.0,-0.0,10.0,0.4,119
2014,51.0,39.0,2.03,12.0,3.0,0.25,12.0,0.63,698
2015,52.0,7.0,0.42,16.0,51.0,3.19,9.0,0.56,-80
2016,52.0,6.0,0.38,15.0,38.0,2.53,14.0,0.93,-12
2017,54.0,7.0,0.49,19.0,47.0,2.47,20.0,1.43,14
2018,65.0,17.0,1.12,27.0,8.0,0.3,16.0,1.07,124
2019,56.0,10.0,0.66,16.0,-8.0,-0.0,17.0,1.13,-38
2020,55.0,9.0,0.59,14.0,-14.0,-0.0,17.0,1.13,-9
