Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,14797.0,324.0,1.69,355.0,0.0,0.0,1727.0,9.04,0
2009,41926.0,335.0,2.22,749.0,3262.0,4.36,-1250.0,-8.28,3
2010,43953.0,2388.0,15.0,3809.0,4303.0,1.13,-3491.0,-21.96,610
2011,56097.0,940.0,6.04,1708.0,5192.0,3.04,1630.0,10.52,-60
2012,60991.0,36.0,0.18,1098.0,8328.0,7.58,-1524.0,-8.06,-96
2013,61347.0,207.0,1.54,1866.0,8372.0,4.49,1194.0,8.91,462
2014,57161.0,517.0,3.17,1601.0,4838.0,3.02,582.0,3.57,149
2015,43455.0,790.0,5.05,1764.0,4357.0,2.47,-26.0,-0.17,52
2016,42679.0,767.0,4.99,1663.0,3858.0,2.32,-311.0,-2.03,-2
2017,45794.0,174.0,0.87,1072.0,4193.0,3.91,-2621.0,-13.37,-77
2018,45743.0,287.0,1.65,1412.0,4983.0,3.53,-1756.0,-10.03,64
2019,41900.0,-1278.0,-9.24,-229.0,6371.0,0.0,156.0,1.14,-543
