Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,11.0,-6.0,-0.24,-2.0,0.0,0.0,-2.0,-0.08,0
2011,48.0,-5.0,-0.16,-4.0,-3.0,-0.0,-17.0,-0.57,16
2012,56.0,-2.0,-0.06,-2.0,-1.0,-0.0,-7.0,-0.22,59
2013,55.0,-10.0,-0.31,-8.0,3.0,0.0,-11.0,-0.34,-402
2014,46.0,-17.0,-0.41,-15.0,-31.0,-0.0,-19.0,-0.45,-70
2015,46.0,-19.0,-0.33,-18.0,-11.0,-0.0,-19.0,-0.33,-11
2016,50.0,-14.0,-0.24,-13.0,-8.0,-0.0,-13.0,-0.22,26
2017,44.0,-15.0,-0.19,-14.0,-11.0,-0.0,-19.0,-0.26,-7
2018,45.0,-19.0,-0.95,-18.0,2.0,0.0,-14.0,-0.7,-26
2019,36.0,-15.0,-0.64,-12.0,8.0,0.0,-15.0,-0.65,21
