Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,6.0,2.0,0.4,1.0,0.0,0.0,0.0,0.0,0
2011,12.0,4.0,0.8,4.0,-1.0,-0.0,0.0,0.0,99
2012,16.0,4.0,0.8,6.0,-1.0,-0.0,1.0,0.2,0
2013,16.0,4.0,0.8,8.0,-2.0,-0.0,-1.0,-0.2,0
2014,19.0,4.0,0.8,5.0,31.0,6.2,3.0,0.6,0
2015,21.0,4.0,0.68,6.0,24.0,4.0,1.0,0.17,0
2016,24.0,4.0,0.68,6.0,23.0,3.83,0.0,0.0,0
2017,24.0,2.0,0.34,7.0,12.0,1.71,0.0,0.0,-50
2018,25.0,4.0,0.56,6.0,48.0,8.0,6.0,0.86,99
2019,-3099.0,49.0,1.23,106.0,60.0,0.57,24.0,0.62,1121
2020,-543.0,88.0,2.26,255.0,1336.0,5.24,114.0,3.0,79
