Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,391.0,-39.0,-0.41,-9.0,0.0,0.0,-2.0,-0.02,0
2011,777.0,-63.0,-0.67,-20.0,152.0,0.0,-70.0,-0.74,-61
2012,1068.0,-56.0,-0.6,3.0,230.0,76.67,-74.0,-0.78,11
2013,1488.0,-43.0,-0.44,66.0,300.0,4.55,-59.0,-0.61,23
2014,1601.0,17.0,0.17,60.0,-17.0,-0.0,2.0,0.02,139
2015,3562.0,-22.0,-0.22,166.0,-65.0,-0.0,137.0,1.33,-229
2016,6365.0,144.0,1.28,351.0,-14.0,-0.0,124.0,1.1,754
2017,7032.0,37.0,0.32,382.0,-57.0,-0.0,120.0,1.04,-74
2018,7722.0,204.0,1.73,470.0,1550.0,3.3,188.0,1.62,451
2019,7279.0,220.0,1.86,494.0,1276.0,2.58,399.0,3.41,7
2020,7435.0,193.0,1.63,489.0,1404.0,2.87,336.0,2.87,-12
