Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,149.0,17.0,0.58,27.0,0.0,0.0,1.0,0.03,0
2011,261.0,17.0,0.59,35.0,-3.0,-0.0,25.0,0.89,0
2012,318.0,26.0,0.78,55.0,60.0,1.09,25.0,0.76,52
2013,332.0,23.0,0.87,51.0,63.0,1.24,22.0,0.85,-11
2014,363.0,28.0,1.06,60.0,69.0,1.15,24.0,0.92,21
2015,375.0,24.0,0.9,60.0,63.0,1.05,16.0,0.62,-14
2016,392.0,30.0,1.09,71.0,30.0,0.42,46.0,1.7,24
2017,401.0,32.0,1.16,78.0,33.0,0.42,35.0,1.3,6
2018,424.0,22.0,0.81,58.0,25.0,0.43,32.0,1.23,-31
2019,422.0,45.0,1.53,85.0,-44.0,-0.0,73.0,2.52,104
2020,426.0,46.0,1.56,87.0,-66.0,-0.0,87.0,3.0,2
