Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,1.0,1.0,0.17,1.0,0.0,0.0,-2.0,-0.33,0
2012,4.0,4.0,0.56,4.0,0.0,0.0,-2.0,-0.29,296
2013,4.0,2.0,0.28,2.0,-2.0,-0.0,-2.0,-0.29,-50
2014,4.0,0.0,0.0,0.0,-1.0,0.0,-6.0,-0.86,-100
2015,4.0,-2.0,-0.28,-2.0,-1.0,-0.0,-4.0,-0.57,-20099
2016,4.0,-4.0,-0.56,-4.0,-1.0,-0.0,-6.0,-0.86,-101
2017,4.0,-4.0,-0.52,-4.0,-1.0,-0.0,-7.0,-0.88,0
2018,4.0,-4.0,-0.52,-2.0,-1.0,-0.0,-4.0,-0.5,0
2019,4.0,-4.0,-4.0,-4.0,-1.0,-0.0,-8.0,-8.0,0
2020,4.0,-4.0,-1.33,-4.0,-2.0,-0.0,-8.0,-0.89,0
