Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,37.0,1.0,0.2,1.0,0.0,0.0,3.0,0.6,0
2011,94.0,17.0,1.41,36.0,171.0,4.75,21.0,1.75,1583
2012,110.0,20.0,1.52,41.0,154.0,3.76,26.0,2.0,17
2013,119.0,23.0,1.76,45.0,202.0,4.49,36.0,2.77,14
2014,123.0,26.0,2.0,50.0,267.0,5.34,30.0,2.31,12
2015,155.0,16.0,0.94,36.0,360.0,10.0,31.0,1.82,-38
2016,159.0,34.0,2.0,65.0,407.0,6.26,48.0,2.82,112
2017,172.0,22.0,1.3,67.0,484.0,7.22,25.0,1.47,-35
2018,224.0,62.0,3.1,90.0,413.0,4.59,59.0,2.95,181
2019,227.0,57.0,2.85,91.0,654.0,7.19,84.0,4.2,-8
