Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,25.0,2.0,0.12,3.0,0.0,0.0,-5.0,-0.31,0
2011,37.0,5.0,0.31,10.0,117.0,11.7,5.0,0.31,148
2012,39.0,6.0,0.38,11.0,132.0,12.0,43.0,2.69,19
2013,36.0,5.0,0.35,13.0,52.0,4.0,9.0,0.64,-16
2014,35.0,5.0,0.39,8.0,76.0,9.5,13.0,1.0,0
2015,35.0,6.0,0.46,14.0,96.0,6.86,9.0,0.69,19
2016,38.0,4.0,0.3,10.0,13.0,1.3,12.0,0.92,-33
2017,45.0,7.0,0.46,17.0,10.0,0.59,12.0,0.8,74
2018,50.0,14.0,0.86,21.0,0.0,0.0,18.0,1.13,99
2019,56.0,13.0,0.71,17.0,-1.0,-0.0,15.0,0.83,-7
