Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2207.0,188.0,1.39,398.0,-88.0,-0.0,317.0,2.35,0
2011,2166.0,168.0,1.35,341.0,283.0,0.83,163.0,1.31,-10
2012,2302.0,121.0,0.98,290.0,204.0,0.7,255.0,2.06,-27
2013,2429.0,210.0,1.74,415.0,258.0,0.62,234.0,1.93,73
2014,2556.0,261.0,2.2,492.0,177.0,0.36,335.0,2.82,24
2015,2692.0,285.0,2.4,564.0,365.0,0.65,364.0,3.06,9
2016,2894.0,306.0,2.59,604.0,287.0,0.48,363.0,3.08,7
2017,4140.0,325.0,2.75,701.0,831.0,1.19,402.0,3.41,6
2018,4327.0,426.0,3.56,809.0,790.0,0.98,596.0,4.97,31
2019,4360.0,480.0,3.98,907.0,1197.0,1.32,559.0,4.66,12
2020,4351.0,420.0,3.5,854.0,1614.0,1.89,461.0,3.94,-12
