Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,26.0,-1.0,-0.11,0.0,0.0,0.0,0.0,0.0,0
2011,54.0,0.0,0.0,0.0,-8.0,0.0,-5.0,-0.56,100
2013,127.0,2.0,0.22,5.0,-8.0,-0.0,0.0,0.0,19900
2014,131.0,-3.0,-0.33,0.0,-1.0,0.0,-7.0,-0.78,-249
2015,128.0,14.0,1.55,9.0,-5.0,-0.0,2.0,0.22,568
2016,138.0,5.0,0.55,11.0,-6.0,-0.0,1.0,0.11,-64
2017,166.0,7.0,0.77,14.0,-12.0,-0.0,5.0,0.56,39
2018,172.0,6.0,0.66,14.0,-8.0,-0.0,-4.0,-0.44,-14
2019,187.0,5.0,0.55,9.0,9.0,1.0,-16.0,-1.78,-16
2020,188.0,5.0,0.55,7.0,20.0,2.86,-19.0,-2.11,0
