Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,44.0,9.0,0.16,12.0,0.0,0.0,14.0,0.24,0
2010,96.0,26.0,0.44,59.0,-52.0,-0.0,35.0,0.6,188
2011,114.0,27.0,0.46,63.0,400.0,6.35,25.0,0.43,3
2012,195.0,36.0,0.52,82.0,736.0,8.98,35.0,0.51,33
2013,189.0,35.0,0.51,78.0,720.0,9.23,58.0,0.84,-2
2014,208.0,43.0,0.61,93.0,1064.0,11.44,77.0,1.1,22
2015,213.0,51.0,0.73,97.0,908.0,9.36,57.0,0.81,18
2016,224.0,53.0,0.77,101.0,977.0,9.67,72.0,1.03,3
2017,254.0,52.0,0.7,114.0,959.0,8.41,74.0,1.0,-1
2018,271.0,85.0,1.06,130.0,831.0,6.39,116.0,1.47,63
2019,281.0,86.0,1.06,131.0,825.0,6.3,96.0,1.22,1
