Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,156.0,16.0,0.25,0.0,0.0,0.0,0.0,0.0,0
2011,686.0,128.0,1.97,144.0,-123.0,-0.0,81.0,1.25,699
2012,487.0,135.0,2.07,25.0,-139.0,-0.0,27.0,0.42,5
2013,421.0,-3.0,-0.05,9.0,-155.0,-0.0,60.0,0.92,-102
2014,481.0,31.0,0.45,21.0,-161.0,-0.0,47.0,0.7,1136
2015,550.0,13.0,0.19,42.0,-150.0,-0.0,27.0,0.4,-58
2016,558.0,-69.0,-1.01,31.0,-86.0,-0.0,29.0,0.43,-630
2017,690.0,61.0,0.87,90.0,-102.0,-0.0,84.0,1.2,188
2018,630.0,115.0,1.64,64.0,-47.0,-0.0,63.0,0.9,88
2019,600.0,436.0,6.04,98.0,-284.0,-0.0,67.0,0.93,279
2020,832.0,441.0,6.1,109.0,-193.0,-0.0,-5.0,-0.07,1
