Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,51.0,4.0,0.49,4.0,0.0,0.0,3.0,0.38,0
2011,96.0,0.0,0.0,0.0,-17.0,0.0,-3.0,-3.0,-100
2012,99.0,0.0,0.0,2.0,-18.0,-0.0,-2.0,-2.0,-100
2013,89.0,-6.0,-6.0,-2.0,-20.0,-0.0,-2.0,-2.0,-60100
2014,94.0,2.0,0.24,2.0,-26.0,-0.0,0.0,0.0,133
2015,105.0,4.0,0.48,6.0,-29.0,-0.0,-1.0,-0.13,99
2016,14.0,-2.0,-2.0,0.0,-32.0,0.0,-2.0,-2.0,-149
2017,78.0,-7.0,-7.0,-7.0,-23.0,-0.0,-11.0,-11.0,-251
2018,71.0,-12.0,-12.0,-11.0,-16.0,-0.0,-10.0,-10.0,-71
2019,57.0,-7.0,-0.57,-7.0,-8.0,-0.0,-9.0,-0.75,41
